,name,doctor,funding_employees_ratio,has_super_founder,has_strong_founder,growth_stage_num,target,pca_0,pca_1,pca_2,pca_3
367,Qfluidics,0,38994.8,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
368,QUANDELA,0,7142.857142857143,0,0,1.0,1,-0.170513664575097,-0.11313488982346766,-0.14353148499424676,-0.13608607274117343
369,Quantmetry,0,0.0,0,0,3.0,1,-0.05797674295641205,-0.005299685229359994,-0.40470581287218854,0.773305204332466
370,Quantum Surgical SAS,0,0.0,0,0,3.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
371,Qucit,0,80952.38095238095,1,1,2.0,1,0.015186889412981191,0.16437703074065102,-0.16387231420666923,-0.1498585587566425
372,Quortex,0,131578.94736842104,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
373,Qwant,1,200854.70085470084,1,1,3.0,1,-0.17444274550983113,0.0015227565319803841,-0.13733211744698798,-0.14414012988380775
374,Qwant,1,200854.70085470084,1,1,3.0,1,-0.17444274550983113,0.0015227565319803841,-0.13733211744698798,-0.14414012988380775
375,Qynapse,0,0.0,0,0,2.0,1,-0.09417347243794483,-0.11298037859479129,0.17988073146221095,0.21685274260618873
376,RealityTech,0,0.0,0,0,1.0,1,-0.17112378773083944,-0.0900582351323027,-0.12254891004456699,-0.14173777502910606
377,Redtechnologies,0,0.0,0,0,4.0,1,-0.14813276065207848,-0.018542998272776407,-0.1276410637537767,-0.16438586784920373
378,Regaind,0,100000.0,0,0,1.0,1,-0.03991768344760854,0.7265780621731369,0.14118998932071342,-0.011718649002074635
379,RegStem,0,38994.8,0,0,2.0,1,-0.058430728262064996,-0.4603699897721418,0.7778976903395827,0.11141044697949339
380,Regulaxis,0,416825.0,0,0,1.0,1,-0.027240782158981854,-0.38023844818476427,0.811516205139784,0.13523866898580425
381,Riminder,0,174242.41666666666,0,0,2.0,1,0.06903373424950252,0.7315513842100408,-0.17262527250326098,1.051843985544526
382,Rubix SI,0,428571.4285714286,1,1,2.0,1,-0.16947858221573847,-0.11887920007464065,-0.12865790689589263,-0.13384779299715283
383,Genfit,0,209259.25925925927,1,1,3.0,1,-0.05484002633623633,-0.5490182395834502,1.1365174867400412,0.25091856912198923
384,SafeHeal,0,1000000.0,0,0,1.0,1,-0.15039312776176306,-0.15484874698600018,-0.05494314389236433,-0.062425028008091556
385,Santech,0,680125.0,0,0,1.0,1,0.020062532252107163,1.0380506418119853,0.3128976982666594,-0.2479294779917909
386,SCALINX,0,11481.481481481482,0,0,2.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
387,Scality,0,784595.9555555555,1,1,3.0,1,0.05598546356317909,0.8076858488078258,0.23758345830942626,-0.1082538212399365
388,Scanae,0,0.0,0,0,1.0,1,-0.16793496546377798,-0.11765145771904596,-0.1264096425122322,-0.13384439444810253
